fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
13,US,GA,,state,,iso1:us#iso2:us-ga,,10617423,0.05320453848512727,other,12.215770248581036,0.24209714726291442,0.9679601053799999,0.09999999999999998,0.3738532110091743,326,actual,1863,actual,0.8003656307129798,2,1,2,1,1,0,2,1074398,19532,814849,7055881,1570,29899,18353,1502,0.68,2735,2189,326,0.815056720523,1437,9239535,3684661,2527545,2021-04-30,https://covidactnow.org/us/georgia-ga,0.347039107323877,0.2380563532224345,57,6218010
15,US,HI,,state,,iso1:us#iso2:us-hi,,1415872,0.016861994738100933,other,6.084085082751629,0.6965174129353234,0.9336307164200001,0.15892388499,0.10606060606060606,7,actual,152,actual,0.7293577981651376,1,0,1,1,1,0,1,32580,480,37214,1328678,300,3064,1884,46,0.66,218,159,7,0.69,115,1465070,737226,496734,2021-04-30,https://covidactnow.org/us/hawaii-hi,0.5206868982506894,0.3508325611354699,1,1209189
19,US,IA,,state,,iso1:us#iso2:us-ia,,3155070,0.05499876573685509,other,11.704517309781219,0.21825918762088975,0.930802091001,0.099999999999,0.18823529411764706,48,actual,410,actual,0.6887218045112782,2,1,2,1,1,0,0,364476,5931,360923,2992984,403,13582,5157,225,0.5,665,458,48,0.56,443,2790335,1383035,1046172,2021-04-30,https://covidactnow.org/us/iowa-ia,0.4383531902620227,0.33158440224781066,0,2351211
16,US,ID,,state,,iso1:us#iso2:us-id,,1787065,0.043648332776797215,other,11.96694820038123,0.23380093520374082,0.9763949937999999,0.09999999999999998,0.3046875,39,actual,184,actual,0.7147435897435898,2,1,2,1,1,0,1,187578,2048,223314,1276332,250,3796,2248,133,0.54,312,223,39,0.53,230,1419415,602930,475681,2021-04-30,https://covidactnow.org/us/idaho-id,0.33738560153100194,0.266180021431789,1,1066942
17,US,IL,,state,,iso1:us#iso2:us-il,,12671821,0.038402317513114965,other,21.48975160825628,0.27908928758787116,0.943419859119,0.10000000000099996,0.27384615384615385,445,actual,1840,actual,0.6594516594516594,2,1,2,1,1,0,0,1335559,24252,1313958,17383217,3800,38143,22494,2100,0.58,3465,2285,445,0.615201900238,3470,11924315,5836316,3790076,2021-04-30,https://covidactnow.org/us/illinois-il,0.4605743720653883,0.2990948183374749,41,9335649
18,US,IN,,state,,iso1:us#iso2:us-in,,6732219,0.045887504323836356,other,15.216804020020312,0.31236926509552365,0.9658579407819999,0.09999999999800002,0.2060535506402794,177,actual,1368,actual,0.6937584193982936,2,1,2,1,1,0,0,721862,13324,805730,7305132,1600,18472,12571,860,0.57,2227,1545,177,0.653419593346,1384,5443410,2406345,1767251,2021-04-30,https://covidactnow.org/us/indiana-in,0.3574371243716225,0.2625064633221231,12,4089471
20,US,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.043394619824024726,other,7.752584955042362,0.3179000632511069,0.9875206694499999,0.09999999999999998,0.15705128205128205,49,actual,527,actual,0.6865315852205006,1,1,1,1,1,0,0,310650,5021,291559,2625926,359,12492,5014,195,0.51,839,576,49,0.633136094675,9,2727885,1233392,902408,2021-04-30,https://covidactnow.org/us/kansas-ks,0.42336390790694034,0.3097530853179575,0,1997118
21,US,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.036625169694693975,other,12.326647131835426,0.4503242542153048,0.989829261216,0.100000000004,0.12296110414052698,98,actual,1040,actual,0.6194882961350027,2,1,2,1,1,0,0,446273,6612,475665,3604083,1240,19775,9066,426,0.59,1837,1138,98,0.66,783,3906775,1822975,1400209,2021-04-30,https://covidactnow.org/us/kentucky-ky,0.40803680126096964,0.31340901628207796,10,3110315
22,US,LA,,state,,iso1:us#iso2:us-la,,4648794,0.030723466601549496,other,8.89938951294219,0.3867403314917127,1.0012810958,0.09999999999999987,0.125810635538262,97,actual,1076,actual,0.6350839198700595,1,1,1,1,1,0,0,457896,10376,513803,5813442,800,20906,9384,311,0.55,1847,1173,97,0.668632075472,570,3638020,1497817,1237218,2021-04-30,https://covidactnow.org/us/louisiana-la,0.3221947455619672,0.26613741112211037,9,2708187
25,US,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.01741073174772271,other,19.176114768673813,0.3555987894509295,0.851563414966,0.10000000000000009,0.27984344422700586,143,actual,910,actual,0.741027445460943,2,0,2,1,0,0,1,687638,17594,764177,20010488,2350,24379,16128,577,0.72,1421,1053,143,0.5,1395,7186080,3814116,2461918,2021-04-30,https://covidactnow.org/us/massachusetts-ma,0.5533716851483416,0.35718780245724957,16,6087168
